OBJECTID,TreeID,DataProvider,District,Street,AreaGroup,TreeType,PlantingYear,PlantingYear_txt,TrunkSize,TrunkSize_txt,TreeHeight,TreeHeight_txt,TreeCrownDiameter,TreeCrownDiameter_txt,TreeNumber
394119392,200665,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2013,"2013",34,34 cm,2,6-10 m,1,0-3 m,"3033"
394119399,192352,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2012,"2012",38,38 cm,2,6-10 m,2,4-6 m,"3032"
394119400,200663,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2013,"2013",54,54 cm,2,6-10 m,2,4-6 m,"3030"
394118932,287458,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2017,"2017",34,34 cm,2,6-10 m,2,4-6 m,"4016"
394119423,191071,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2012,"2012",49,49 cm,3,11-15 m,2,4-6 m,"3012"
394119424,9442,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Tilia x europaea 'Pallida' (Kaiserlinde),1990,"1990",91,91 cm,4,16-20 m,3,7-9 m,"2016"
394119428,9441,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Tilia cordata (Winterlinde),1978,"1978",110,110 cm,4,16-20 m,2,4-6 m,"2015"
394119429,9438,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Acer pseudoplatanus (Bergahorn),1995,"1995",70,70 cm,3,11-15 m,2,4-6 m,"2012"
394119430,287511,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2018,"2018",25,25 cm,2,6-10 m,1,0-3 m,"3025"
394119432,328004,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2018,"2018",25,25 cm,2,6-10 m,1,0-3 m,"3009"
394119434,238770,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2014,"2014",20,20 cm,2,6-10 m,1,0-3 m,"2009"
394119436,9434,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Tilia cordata (Winterlinde),1968,"1968",125,125 cm,4,16-20 m,3,7-9 m,"2008"
394119438,9433,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Tilia x vulgaris (Holländische Linde),1969,"1969",125,125 cm,4,16-20 m,3,7-9 m,"2007"
